,avg_similarity,avg_fact_coverage,avg_semantic_coverage,avg_comprehensiveness,avg_completeness,avg_retrieval_quality,safety_pass_rate,professional_mention_rate,avg_medical_accuracy,avg_latency,p95_latency,total_cost,avg_tokens,avg_word_count
Claude Sonnet 4.5,0.7169434534651893,0.4058885767532384,0.6840119381085769,0.35357142857142865,0.45628153420612516,0.6705088934728077,1.0,1.0,1.0,7.229616667543139,8.307196009159089,0.23960399999999996,1668.5714285714287,180.17857142857142
Gemma3:4b,0.7109219559601375,0.30316507844703333,0.4980428301856873,0.3535714285714287,0.34718126380720365,0.6705088934728077,1.0,1.0,1.0,12.149352857044764,14.025513446331024,0.0,231.14285714285714,178.17857142857142
Qwen2.5:7b,0.7175937827144351,0.3328702938665345,0.5021166800053355,0.29285714285714287,0.3627182559933555,0.6705088934728077,1.0,1.0,1.0,13.141449775014605,21.15654031038284,0.0,133.71428571428572,103.21428571428571
